StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Introduction,Q2,Q3,Q3_5_TEXT,Q4,Q4_9_TEXT,Q5,Q6,Q7,Q7_12_TEXT,Q11,Q14,Q15,Q8,Q16,Q17,Q18,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-2-1,F-1-2-2,F-1-2-3,F-1-3-1,F-1-3-2,F-1-3-3,F-1-4-1,F-1-4-2,F-1-4-3,F-1-5-1,F-1-5-2,F-1-5-3,F-1-6-1,F-1-6-2,F-1-6-3,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-2-1,F-2-2-2,F-2-2-3,F-2-3-1,F-2-3-2,F-2-3-3,F-2-4-1,F-2-4-2,F-2-4-3,F-2-5-1,F-2-5-2,F-2-5-3,F-2-6-1,F-2-6-2,F-2-6-3,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-2-1,F-3-2-2,F-3-2-3,F-3-3-1,F-3-3-2,F-3-3-3,F-3-4-1,F-3-4-2,F-3-4-3,F-3-5-1,F-3-5-2,F-3-5-3,F-3-6-1,F-3-6-2,F-3-6-3,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-2-1,F-4-2-2,F-4-2-3,F-4-3-1,F-4-3-2,F-4-3-3,F-4-4-1,F-4-4-2,F-4-4-3,F-4-5-1,F-4-5-2,F-4-5-3,F-4-6-1,F-4-6-2,F-4-6-3,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-2-1,F-5-2-2,F-5-2-3,F-5-3-1,F-5-3-2,F-5-3-3,F-5-4-1,F-5-4-2,F-5-4-3,F-5-5-1,F-5-5-2,F-5-5-3,F-5-6-1,F-5-6-2,F-5-6-3,F-6-1,F-6-1-1,F-6-2,F-6-1-2,F-6-3,F-6-1-3,F-6-2-1,F-6-2-2,F-6-2-3,F-6-3-1,F-6-3-2,F-6-3-3,F-6-4-1,F-6-4-2,F-6-4-3,F-6-5-1,F-6-5-2,F-6-5-3,F-6-6-1,F-6-6-2,F-6-6-3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,This survey is designed by UC Berkeley students in Professor Joan Walker's Behavioral Modeling class (CE264). Survey results will be used in a final project that analyzes transportation mode preferences among Bay Area residents. The survey will take approximately 3-5 minutes. Do you consent to providing the data in the survey?,What is your UC Berkeley campus affiliation?,Gender: How do you identify? Select all that apply. - Selected Choice,Gender: How do you identify? Select all that apply. - Prefer to self-describe (type below) - Text,Race/Ethnicity: How do you identify? Select all that apply. - Selected Choice,Race/Ethnicity: How do you identify? Select all that apply. - Other (type below) - Text,Are you currently employed? Select all that apply.,What is the zipcode of your Bay Area residence?,What modes of transportation are you likely to use in a typical week? Select all that apply. - Selected Choice,What modes of transportation are you likely to use in a typical week? Select all that apply. - Other (type below) - Text,"Scenario 1



Which mode of transportation would you choose?
 

 
  
    
   Walk
   Bike or Scooter
   Bus
   Rail (BART, Caltrain)
   Drive
   Rideshare
  
  
   [Field-F-1-1]
   [Field-F-1-1-1]
   [Field-F-1-2-1]
   [Field-F-1-3-1]
   [Field-F-1-4-1]
   [Field-F-1-5-1]
   [Field-F-1-6-1]
  
  
   [Field-F-1-2]
   0
   0
   [Field-F-1-3-2]
   [Field-F-1-4-2]
   [Field-F-1-5-2]
   [Field-F-1-6-2]
  
  
   [Field-F-1-3]
   0
   0
   [Field-F-1-3-3]
   [Field-F-1-4-3]
   [Field-F-1-5-3]
   [Field-F-1-6-3]","Scenario 2



Which mode of transportation would you choose?
 

	
		
			 
			Walk
			Bike or Scooter
			Bus
			Rail (BART, Caltrain)
			Drive
			Rideshare
		
		
			[Field-F-1-1]
			[Field-F-2-1-1]
			[Field-F-2-2-1]
			[Field-F-2-3-1]
			[Field-F-2-4-1]
			[Field-F-2-5-1]
			[Field-F-2-6-1]
		
		
			[Field-F-1-2]
			0
			0
			[Field-F-2-3-2]
			[Field-F-2-4-2]
			[Field-F-2-5-2]
			[Field-F-2-6-2]
		
		
			[Field-F-1-3]
			0
			0
			[Field-F-2-3-3]
			[Field-F-2-4-3]
			[Field-F-2-5-3]
			[Field-F-2-6-3]","Scenario 3



Which mode of transportation would you choose?
 

	
		
			 
			Walk
			Bike or Scooter
			Bus
			Rail (BART, Caltrain)
			Drive
			Rideshare
		
		
			[Field-F-1-1]
			[Field-F-3-1-1]
			[Field-F-3-2-1]
			[Field-F-3-3-1]
			[Field-F-3-4-1]
			[Field-F-3-5-1]
			[Field-F-3-6-1]
		
		
			[Field-F-1-2]
			0
			0
			[Field-F-3-3-2]
			[Field-F-3-4-2]
			[Field-F-3-5-2]
			[Field-F-3-6-2]
		
		
			[Field-F-1-3]
			0
			0
			[Field-F-3-3-3]
			[Field-F-3-4-3]
			[Field-F-3-5-3]
			[Field-F-3-6-3]","BayPass is an all-inclusive multi-agency transit pass that gives you access to all public transit in the Bay Area (Muni, BART, Caltrain, ferry, etc.). Students who were randomly selected to receive the Clipper BayPass were notified via email in Fall 2022. Did you receive the Clipper BayPass?","Scenario 4



Which mode of transportation would you choose?
 

 
  
    
   Walk
   Bike or Scooter
   Bus
   Rail (BART, Caltrain)
   Drive
   Rideshare
  
  
   [Field-F-1-1]
   [Field-F-4-1-1]
   [Field-F-4-2-1]
   [Field-F-4-3-1]
   [Field-F-4-4-1]
   [Field-F-4-5-1]
   [Field-F-4-6-1]
  
  
   [Field-F-1-2]
   0
   0
   [Field-F-4-3-2]
   [Field-F-4-4-2]
   [Field-F-4-5-2]
   [Field-F-4-6-2]
  
  
   [Field-F-1-3]
   0
   0
   0
   0
   [Field-F-4-5-3]
   [Field-F-4-6-3]","Scenario 5



Which mode of transportation would you choose?
 

	
		
			 
			Walk
			Bike or Scooter
			Bus
			Rail (BART, Caltrain)
			Drive
			Rideshare
		
		
			[Field-F-1-1]
			[Field-F-5-1-1]
			[Field-F-5-2-1]
			[Field-F-5-3-1]
			[Field-F-5-4-1]
			[Field-F-5-5-1]
			[Field-F-5-6-1]
		
		
			[Field-F-1-2]
			0
			0
			[Field-F-5-3-2]
			[Field-F-5-4-2]
			[Field-F-5-5-2]
			[Field-F-5-6-2]
		
		
			[Field-F-1-3]
			0
			0
			0
			0
			[Field-F-5-5-3]
			[Field-F-5-6-3]","Scenario 6



Which mode of transportation would you choose?
 

	
		
			 
			Walk
			Bike or Scooter
			Bus
			Rail (BART, Caltrain)
			Drive
			Rideshare
		
		
			[Field-F-1-1]
			[Field-F-6-1-1]
			[Field-F-6-2-1]
			[Field-F-6-3-1]
			[Field-F-6-4-1]
			[Field-F-6-5-1]
			[Field-F-6-6-1]
		
		
			[Field-F-1-2]
			0
			0
			[Field-F-6-3-2]
			[Field-F-6-4-2]
			[Field-F-6-5-2]
			[Field-F-6-6-2]
		
		
			[Field-F-1-3]
			0
			0
			0
			0
			[Field-F-6-5-3]
			[Field-F-6-6-3]",F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-2-1,F-1-2-2,F-1-2-3,F-1-3-1,F-1-3-2,F-1-3-3,F-1-4-1,F-1-4-2,F-1-4-3,F-1-5-1,F-1-5-2,F-1-5-3,F-1-6-1,F-1-6-2,F-1-6-3,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-2-1,F-2-2-2,F-2-2-3,F-2-3-1,F-2-3-2,F-2-3-3,F-2-4-1,F-2-4-2,F-2-4-3,F-2-5-1,F-2-5-2,F-2-5-3,F-2-6-1,F-2-6-2,F-2-6-3,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-2-1,F-3-2-2,F-3-2-3,F-3-3-1,F-3-3-2,F-3-3-3,F-3-4-1,F-3-4-2,F-3-4-3,F-3-5-1,F-3-5-2,F-3-5-3,F-3-6-1,F-3-6-2,F-3-6-3,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-2-1,F-4-2-2,F-4-2-3,F-4-3-1,F-4-3-2,F-4-3-3,F-4-4-1,F-4-4-2,F-4-4-3,F-4-5-1,F-4-5-2,F-4-5-3,F-4-6-1,F-4-6-2,F-4-6-3,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-2-1,F-5-2-2,F-5-2-3,F-5-3-1,F-5-3-2,F-5-3-3,F-5-4-1,F-5-4-2,F-5-4-3,F-5-5-1,F-5-5-2,F-5-5-3,F-5-6-1,F-5-6-2,F-5-6-3,F-6-1,F-6-1-1,F-6-2,F-6-1-2,F-6-3,F-6-1-3,F-6-2-1,F-6-2-2,F-6-2-3,F-6-3-1,F-6-3-2,F-6-3-3,F-6-4-1,F-6-4-2,F-6-4-3,F-6-5-1,F-6-5-2,F-6-5-3,F-6-6-1,F-6-6-2,F-6-6-3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_9_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_12_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-3-1""}","{""ImportId"":""F-1-3-2""}","{""ImportId"":""F-1-3-3""}","{""ImportId"":""F-1-4-1""}","{""ImportId"":""F-1-4-2""}","{""ImportId"":""F-1-4-3""}","{""ImportId"":""F-1-5-1""}","{""ImportId"":""F-1-5-2""}","{""ImportId"":""F-1-5-3""}","{""ImportId"":""F-1-6-1""}","{""ImportId"":""F-1-6-2""}","{""ImportId"":""F-1-6-3""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-3-1""}","{""ImportId"":""F-2-3-2""}","{""ImportId"":""F-2-3-3""}","{""ImportId"":""F-2-4-1""}","{""ImportId"":""F-2-4-2""}","{""ImportId"":""F-2-4-3""}","{""ImportId"":""F-2-5-1""}","{""ImportId"":""F-2-5-2""}","{""ImportId"":""F-2-5-3""}","{""ImportId"":""F-2-6-1""}","{""ImportId"":""F-2-6-2""}","{""ImportId"":""F-2-6-3""}","{""ImportId"":""F-3-1""}","{""ImportId"":""F-3-1-1""}","{""ImportId"":""F-3-2""}","{""ImportId"":""F-3-1-2""}","{""ImportId"":""F-3-3""}","{""ImportId"":""F-3-1-3""}","{""ImportId"":""F-3-2-1""}","{""ImportId"":""F-3-2-2""}","{""ImportId"":""F-3-2-3""}","{""ImportId"":""F-3-3-1""}","{""ImportId"":""F-3-3-2""}","{""ImportId"":""F-3-3-3""}","{""ImportId"":""F-3-4-1""}","{""ImportId"":""F-3-4-2""}","{""ImportId"":""F-3-4-3""}","{""ImportId"":""F-3-5-1""}","{""ImportId"":""F-3-5-2""}","{""ImportId"":""F-3-5-3""}","{""ImportId"":""F-3-6-1""}","{""ImportId"":""F-3-6-2""}","{""ImportId"":""F-3-6-3""}","{""ImportId"":""F-4-1""}","{""ImportId"":""F-4-1-1""}","{""ImportId"":""F-4-2""}","{""ImportId"":""F-4-1-2""}","{""ImportId"":""F-4-3""}","{""ImportId"":""F-4-1-3""}","{""ImportId"":""F-4-2-1""}","{""ImportId"":""F-4-2-2""}","{""ImportId"":""F-4-2-3""}","{""ImportId"":""F-4-3-1""}","{""ImportId"":""F-4-3-2""}","{""ImportId"":""F-4-3-3""}","{""ImportId"":""F-4-4-1""}","{""ImportId"":""F-4-4-2""}","{""ImportId"":""F-4-4-3""}","{""ImportId"":""F-4-5-1""}","{""ImportId"":""F-4-5-2""}","{""ImportId"":""F-4-5-3""}","{""ImportId"":""F-4-6-1""}","{""ImportId"":""F-4-6-2""}","{""ImportId"":""F-4-6-3""}","{""ImportId"":""F-5-1""}","{""ImportId"":""F-5-1-1""}","{""ImportId"":""F-5-2""}","{""ImportId"":""F-5-1-2""}","{""ImportId"":""F-5-3""}","{""ImportId"":""F-5-1-3""}","{""ImportId"":""F-5-2-1""}","{""ImportId"":""F-5-2-2""}","{""ImportId"":""F-5-2-3""}","{""ImportId"":""F-5-3-1""}","{""ImportId"":""F-5-3-2""}","{""ImportId"":""F-5-3-3""}","{""ImportId"":""F-5-4-1""}","{""ImportId"":""F-5-4-2""}","{""ImportId"":""F-5-4-3""}","{""ImportId"":""F-5-5-1""}","{""ImportId"":""F-5-5-2""}","{""ImportId"":""F-5-5-3""}","{""ImportId"":""F-5-6-1""}","{""ImportId"":""F-5-6-2""}","{""ImportId"":""F-5-6-3""}","{""ImportId"":""F-6-1""}","{""ImportId"":""F-6-1-1""}","{""ImportId"":""F-6-2""}","{""ImportId"":""F-6-1-2""}","{""ImportId"":""F-6-3""}","{""ImportId"":""F-6-1-3""}","{""ImportId"":""F-6-2-1""}","{""ImportId"":""F-6-2-2""}","{""ImportId"":""F-6-2-3""}","{""ImportId"":""F-6-3-1""}","{""ImportId"":""F-6-3-2""}","{""ImportId"":""F-6-3-3""}","{""ImportId"":""F-6-4-1""}","{""ImportId"":""F-6-4-2""}","{""ImportId"":""F-6-4-3""}","{""ImportId"":""F-6-5-1""}","{""ImportId"":""F-6-5-2""}","{""ImportId"":""F-6-5-3""}","{""ImportId"":""F-6-6-1""}","{""ImportId"":""F-6-6-2""}","{""ImportId"":""F-6-6-3""}"
2023-04-07 18:29:28,2023-04-07 18:31:11,IP Address,135.180.199.230,100,102,True,2023-04-07 18:31:12,R_3G1x0mxKdJi00SW,,,,,37.8611,-122.2564,anonymous,EN,"Yes, I consent",Graduate student,Female,,Asian,,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",,Walk,Walk,Bike or Scooter,No,Walk,Bike or Scooter,"Rail (BART, Caltrain)",Travel Time,10,Waiting or Parking Time,15,Travel Cost,6,40,5,5,30,10,10,40,5,1,5,20,4,45,0,7,Travel Time,10,Waiting or Parking Time,20,Travel Cost,3,35,10,2,25,20,1,5,5,5,10,0,10,40,10,8,Travel Time,45,Waiting or Parking Time,0,Travel Cost,2,15,20,5,10,15,1,10,0,10,40,0,8,20,10,8,Travel Time,20,Waiting or Parking Time,20,Travel Cost,6,25,20,1,15,15,7,35,10,1,35,15,4,35,5,4,Travel Time,25,Waiting or Parking Time,10,Travel Cost,5,5,10,3,30,10,8,15,5,5,15,10,3,40,0,4,Travel Time,35,Waiting or Parking Time,15,Travel Cost,4,30,15,9,40,0,6,20,10,1,30,5,7,40,0,8
2023-04-07 18:33:14,2023-04-07 18:37:24,IP Address,172.59.129.132,100,249,True,2023-04-07 18:37:24,R_2afu2wjgQNcq4qA,,,,,37.6403,-122.0667,anonymous,EN,"Yes, I consent",Graduate student,Male,,"White,Native American or Indigenous,Hispanic or Latinx",,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",,Walk,Walk,Walk,No,Bus,Bike or Scooter,Walk,Travel Time,15,Waiting or Parking Time,5,Travel Cost,2,35,5,9,25,20,1,10,0,2,30,5,3,10,15,2,Travel Time,25,Waiting or Parking Time,20,Travel Cost,7,20,0,9,45,5,3,35,15,1,45,0,7,10,5,1,Travel Time,15,Waiting or Parking Time,5,Travel Cost,7,35,15,8,35,10,9,35,10,7,25,15,4,40,0,6,Travel Time,30,Waiting or Parking Time,0,Travel Cost,3,20,5,8,25,5,1,40,5,9,25,10,8,10,5,4,Travel Time,45,Waiting or Parking Time,10,Travel Cost,4,10,5,7,15,10,9,35,10,7,10,10,10,10,5,10,Travel Time,10,Waiting or Parking Time,15,Travel Cost,1,15,5,9,20,20,2,30,0,10,40,10,4,30,10,8
2023-04-07 18:39:38,2023-04-07 18:42:05,IP Address,98.51.4.129,100,147,True,2023-04-07 18:42:06,R_2CKc1KIgWmod0Dv,,,,,37.3209,-121.9126,anonymous,EN,"Yes, I consent",Graduate student,Female,,White,,"Yes, employed off campus",94703,"AC Transit,BART,Walk,Personal bike,Drive alone",,Bike or Scooter,Walk,Bus,No,Bike or Scooter,Bike or Scooter,Bike or Scooter,Travel Time,20,Waiting or Parking Time,0,Travel Cost,5,10,15,6,40,5,6,25,5,6,30,0,4,15,0,2,Travel Time,15,Waiting or Parking Time,5,Travel Cost,4,30,20,7,35,0,10,20,5,9,10,15,1,10,20,2,Travel Time,45,Waiting or Parking Time,5,Travel Cost,2,35,15,5,5,5,2,5,20,7,25,5,7,30,15,7,Travel Time,30,Waiting or Parking Time,5,Travel Cost,4,5,20,6,30,10,6,20,5,1,5,20,5,10,15,4,Travel Time,25,Waiting or Parking Time,0,Travel Cost,7,5,20,8,35,0,5,25,10,1,15,10,10,10,5,9,Travel Time,40,Waiting or Parking Time,0,Travel Cost,9,10,0,4,10,10,7,25,10,1,20,15,1,35,15,8
2023-04-07 18:41:05,2023-04-07 18:45:19,IP Address,107.77.230.97,100,253,True,2023-04-07 18:45:19,R_2q8ARS5mCctxdLA,,,,,33.9889,-118.153,anonymous,EN,"Yes, I consent",Alumnus,Female,,Asian,,No,,"AC Transit,BART,Walk,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",,Drive,Walk,Walk,No,Bus,"Rail (BART, Caltrain)",Bus,Travel Time,25,Waiting or Parking Time,5,Travel Cost,7,30,5,6,20,20,5,35,15,5,10,15,6,25,0,3,Travel Time,35,Waiting or Parking Time,0,Travel Cost,10,40,5,1,10,5,5,20,5,4,35,5,8,25,10,8,Travel Time,5,Waiting or Parking Time,20,Travel Cost,5,5,10,4,5,10,5,35,5,4,20,5,4,35,10,1,Travel Time,30,Waiting or Parking Time,10,Travel Cost,6,45,0,8,15,5,7,20,15,8,40,0,7,20,15,5,Travel Time,25,Waiting or Parking Time,20,Travel Cost,6,25,10,3,20,15,3,20,15,7,40,10,7,15,15,7,Travel Time,10,Waiting or Parking Time,5,Travel Cost,5,10,10,7,5,20,6,40,5,6,5,15,4,10,0,2
2023-04-07 18:34:39,2023-04-07 18:52:46,IP Address,135.180.144.153,100,1086,True,2023-04-07 18:52:47,R_72oltZL8X3TAjPH,,,,,37.8611,-122.2564,anonymous,EN,"Yes, I consent",Graduate student,Male,,"White,Asian",,"Yes, employed off campus,Yes, employed on campus as a student",94704,"AC Transit,BART,Walk,Drive alone,Rideshare (ex: Uber, Lyft)",,Walk,Walk,Walk,No,Bike or Scooter,Bus,"Rail (BART, Caltrain)",Travel Time,30,Waiting or Parking Time,0,Travel Cost,2,15,15,1,35,5,6,45,0,7,30,5,6,5,10,5,Travel Time,20,Waiting or Parking Time,10,Travel Cost,3,15,10,4,10,10,3,45,5,1,30,15,3,15,20,2,Travel Time,5,Waiting or Parking Time,10,Travel Cost,4,25,20,1,10,15,6,10,0,2,20,10,2,20,15,1,Travel Time,20,Waiting or Parking Time,0,Travel Cost,9,5,10,6,25,10,5,45,10,7,15,10,1,15,10,6,Travel Time,40,Waiting or Parking Time,5,Travel Cost,8,40,5,7,35,0,5,35,5,4,45,0,4,25,15,8,Travel Time,20,Waiting or Parking Time,5,Travel Cost,8,15,20,5,20,15,6,15,0,2,20,5,8,30,20,8
2023-04-07 18:56:17,2023-04-07 19:00:40,IP Address,135.180.145.43,100,262,True,2023-04-07 19:00:40,R_3popjLDfm6Q3GcC,,,,,37.8637,-122.276,anonymous,EN,"Yes, I consent",Alumnus,Male,,White,,"Yes, employed off campus",,"AC Transit,BART,Walk,Personal bike",,Walk,Walk,Bike or Scooter,No,Bike or Scooter,Walk,Walk,Travel Time,10,Waiting or Parking Time,10,Travel Cost,8,15,20,5,15,5,10,25,15,2,25,15,4,45,0,8,Travel Time,10,Waiting or Parking Time,20,Travel Cost,3,25,15,1,45,5,4,15,15,7,25,5,2,30,5,2,Travel Time,15,Waiting or Parking Time,15,Travel Cost,2,10,10,9,15,20,7,40,5,2,35,10,1,35,10,6,Travel Time,40,Waiting or Parking Time,5,Travel Cost,8,35,0,3,35,15,6,35,15,1,15,15,4,5,15,9,Travel Time,20,Waiting or Parking Time,20,Travel Cost,1,35,5,2,45,5,5,25,20,2,15,20,1,10,20,5,Travel Time,5,Waiting or Parking Time,15,Travel Cost,2,10,20,6,30,5,2,35,15,8,30,20,4,20,5,6
2023-04-07 19:26:35,2023-04-07 19:29:58,IP Address,135.180.199.230,100,202,True,2023-04-07 19:29:59,R_1Iuwhpmj611MoPK,,,,,37.8611,-122.2564,anonymous,EN,"Yes, I consent",I am not affiliated with UC Berkeley,Male,,Asian,,"Yes, employed off campus",94132,"BART,Walk,Drive alone",,Bus,Walk,Walk,No,Bike or Scooter,Bus,Walk,Travel Time,25,Waiting or Parking Time,0,Travel Cost,9,15,15,4,10,0,2,30,0,2,20,0,9,5,20,7,Travel Time,10,Waiting or Parking Time,5,Travel Cost,8,25,15,6,45,10,3,15,5,3,45,5,3,30,20,1,Travel Time,10,Waiting or Parking Time,10,Travel Cost,2,40,10,5,25,0,5,40,5,3,10,5,10,25,0,4,Travel Time,15,Waiting or Parking Time,10,Travel Cost,10,5,15,4,20,0,5,10,20,5,20,15,6,20,10,3,Travel Time,25,Waiting or Parking Time,0,Travel Cost,10,30,5,5,10,15,2,35,15,2,30,5,9,25,5,3,Travel Time,10,Waiting or Parking Time,15,Travel Cost,4,5,5,2,20,0,2,10,5,5,5,15,9,25,20,1
2023-04-07 19:38:06,2023-04-07 19:41:09,IP Address,24.23.168.17,100,183,True,2023-04-07 19:41:10,R_uqBtPE16Y6Nwgkp,,,,,37.9395,-122.3242,anonymous,EN,"Yes, I consent",Undergraduate student,Non-binary,,White,,"Yes, employed on campus as a student,Yes, employed on campus as faculty/staff",94709,"Bear Transit,AC Transit,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",,"Rail (BART, Caltrain)","Rail (BART, Caltrain)","Rail (BART, Caltrain)",No,"Rail (BART, Caltrain)","Rail (BART, Caltrain)",Walk,Travel Time,40,Waiting or Parking Time,0,Travel Cost,5,20,20,8,20,15,4,35,10,7,5,15,5,30,5,6,Travel Time,25,Waiting or Parking Time,20,Travel Cost,7,15,15,8,40,10,3,30,10,5,40,10,1,20,10,10,Travel Time,15,Waiting or Parking Time,5,Travel Cost,10,5,5,8,5,5,7,35,10,1,15,5,7,5,5,3,Travel Time,5,Waiting or Parking Time,15,Travel Cost,8,15,5,9,45,0,4,5,20,5,15,0,4,10,5,1,Travel Time,20,Waiting or Parking Time,15,Travel Cost,7,25,5,10,30,5,8,15,15,7,30,20,8,10,10,10,Travel Time,10,Waiting or Parking Time,20,Travel Cost,4,30,10,10,35,0,6,20,20,3,10,10,10,25,15,4
