0,obs_id,Introduction,Campus Afflication,Gender,Gender (Other),Race/Ethnicity,Race/Ethnicity (Other),Employment,Zipcode,Modes,BayPass Access,choice,tt_walk,wt_walk,cost_walk,tt_bike,wt_bike,cost_bike,tt_bus,wt_bus,cost_bus,tt_rail,wt_rail,cost_rail,tt_drive,wt_drive,cost_drive,tt_rideshare,wt_rideshare,cost_rideshare,BayPass,Unnamed: 0_x,Percent_Developed_x,Percent_TOD_x,student_dummy,employed_dummy,Unnamed: 0_y,Percent_Developed_y,Percent_TOD_y
0,1,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",No,1,10,0,0,40,0,0,30,10,10,40,5,1,5,20,4,45,0,7,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
1,1,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",No,2,45,0,0,15,0,0,10,15,1,10,0,10,40,0,8,20,10,8,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
2,1,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",No,4,35,0,0,30,0,0,40,0,0,20,10,0,30,5,7,40,0,8,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
3,1,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",No,2,25,0,0,5,0,0,30,10,0,15,5,0,15,10,3,40,0,4,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
4,1,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",No,1,20,0,0,25,0,0,15,15,0,35,10,0,35,15,4,35,5,4,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
5,1,"Yes, I consent",Graduate student,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94704,"AC Transit,BART,Walk,Personal bike",No,1,10,0,0,35,0,0,25,20,1,5,5,5,10,0,10,40,10,8,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
6,2,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Native American or Indigenous,Hispanic or Latinx",Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,15,0,0,35,0,0,25,20,1,10,0,2,30,5,3,10,15,2,0,167,100,99.99999964,1,1,167,100,99.99999964
7,2,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Native American or Indigenous,Hispanic or Latinx",Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,15,0,0,35,0,0,35,10,9,35,10,7,25,15,4,40,0,6,0,167,100,99.99999964,1,1,167,100,99.99999964
8,2,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Native American or Indigenous,Hispanic or Latinx",Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,10,0,0,15,0,0,20,20,0,30,0,0,40,10,4,30,10,8,1,167,100,99.99999964,1,1,167,100,99.99999964
9,2,"Yes, I consent",Graduate student,Male,Did Not Response,"White,Native American or Indigenous,Hispanic or Latinx",Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,25,0,0,20,0,0,45,5,3,35,15,1,45,0,7,10,5,1,0,167,100,99.99999964,1,1,167,100,99.99999964
